# mass	sfr	metal
1.031202220916748047e+01 1.088900938630104065e-01 8.599436759948730469e+00
1.026500701904296875e+01 5.745201110839843750e-01 9.109219551086425781e+00
9.025177001953125000e+00 -4.559198915958404541e-01 8.618177413940429688e+00
9.672254562377929688e+00 -7.903799414634704590e-01 9.094287872314453125e+00
1.053821086883544922e+01 5.263801217079162598e-01 8.999307632446289062e+00
9.281043052673339844e+00 -3.464598953723907471e-01 8.690564155578613281e+00
9.976568222045898438e+00 2.678301036357879639e-01 8.872531890869140625e+00
1.028244781494140625e+01 4.940600991249084473e-01 8.940176963806152344e+00
8.906076431274414062e+00 -5.528199076652526855e-01 8.508306503295898438e+00
9.510111808776855469e+00 4.227300882339477539e-01 8.283654212951660156e+00
9.991912841796875000e+00 1.408600956201553345e-01 8.948308944702148438e+00
1.003389072418212891e+01 3.405009210109710693e-02 9.017993927001953125e+00
9.873367309570312500e+00 2.931600809097290039e-01 8.995938301086425781e+00
9.106927871704101562e+00 -5.530099272727966309e-01 8.623926162719726562e+00
1.028461360931396484e+01 3.725801110267639160e-01 9.125092506408691406e+00
1.088799285888671875e+01 1.266240119934082031e+00 9.120840072631835938e+00
1.024615097045898438e+01 3.401401042938232422e-01 9.094968795776367188e+00
1.016966533660888672e+01 1.665700972080230713e-01 8.849785804748535156e+00
9.693474769592285156e+00 4.633700847625732422e-01 8.658061027526855469e+00
1.018983268737792969e+01 6.820901036262512207e-01 9.000921249389648438e+00
1.000354385375976562e+01 4.248000979423522949e-01 9.049914360046386719e+00
8.997073173522949219e+00 -7.116898894309997559e-01 8.722775459289550781e+00
1.023845386505126953e+01 7.076901197433471680e-01 8.981038093566894531e+00
9.879245758056640625e+00 -3.039908362552523613e-03 8.944324493408203125e+00
9.346399307250976562e+00 -2.348999083042144775e-01 8.437016487121582031e+00
9.600039482116699219e+00 -2.333699017763137817e-01 8.819762229919433594e+00
9.771483421325683594e+00 -5.421990901231765747e-02 8.983674049377441406e+00
9.157813072204589844e+00 -5.965099334716796875e-01 8.483158111572265625e+00
1.056945419311523438e+01 7.331300973892211914e-01 9.157175064086914062e+00
9.446774482727050781e+00 -5.853599309921264648e-01 8.673343658447265625e+00
1.075828742980957031e+01 1.061420083045959473e+00 9.104824066162109375e+00
8.908360481262207031e+00 -9.470699429512023926e-01 8.452416419982910156e+00
1.047391414642333984e+01 6.435500979423522949e-01 9.052375793457031250e+00
1.045656013488769531e+01 3.753800988197326660e-01 9.078445434570312500e+00
9.593596458435058594e+00 -2.974299192428588867e-01 9.083237648010253906e+00
9.918342590332031250e+00 6.616700887680053711e-01 8.630138397216796875e+00
1.024213600158691406e+01 2.636200785636901855e-01 9.111225128173828125e+00
1.002429866790771484e+01 4.037401080131530762e-01 8.948091506958007812e+00
1.022927856445312500e+01 4.510400891304016113e-01 9.066932678222656250e+00
9.901050567626953125e+00 5.834900736808776855e-01 8.811240196228027344e+00
1.030750942230224609e+01 5.100300908088684082e-01 9.133856773376464844e+00
9.525396347045898438e+00 1.293200999498367310e-01 8.867227554321289062e+00
9.740079879760742188e+00 5.081000924110412598e-01 8.966404914855957031e+00
7.456203460693359375e+00 -1.777459979057312012e+00 8.009229660034179688e+00
1.045927619934082031e+01 5.149400830268859863e-01 9.019608497619628906e+00
9.995759010314941406e+00 4.332400858402252197e-01 8.952165603637695312e+00
9.571936607360839844e+00 -3.030298948287963867e-01 8.844299316406250000e+00
1.041058826446533203e+01 7.375801205635070801e-01 8.937039375305175781e+00
9.488612174987792969e+00 8.456009626388549805e-02 8.726920127868652344e+00
8.622672080993652344e+00 -1.091739892959594727e+00 8.204901695251464844e+00
1.010002517700195312e+01 8.084009587764739990e-02 8.910897254943847656e+00
8.958394050598144531e+00 -8.577499389648437500e-01 8.652291297912597656e+00
1.065259265899658203e+01 -6.046989932656288147e-02 8.993112564086914062e+00
9.891544342041015625e+00 3.288900852203369141e-01 8.812061309814453125e+00
9.827037811279296875e+00 4.182201027870178223e-01 8.746761322021484375e+00
1.014682960510253906e+01 1.033670067787170410e+00 8.879516601562500000e+00
9.670795440673828125e+00 -1.168799102306365967e-01 8.847769737243652344e+00
9.839763641357421875e+00 7.509000897407531738e-01 8.782262802124023438e+00
1.019642066955566406e+01 1.192600950598716736e-01 8.914139747619628906e+00
1.048339080810546875e+01 6.778500676155090332e-01 8.990241050720214844e+00
1.087028312683105469e+01 9.373100996017456055e-01 9.087585449218750000e+00
1.081744766235351562e+01 1.138090133666992188e+00 9.122567176818847656e+00
9.593929290771484375e+00 -9.868990629911422729e-02 8.825065612792968750e+00
1.040139579772949219e+01 4.436009377241134644e-02 9.014257431030273438e+00
1.009608078002929688e+01 1.257700920104980469e-01 8.927767753601074219e+00
1.061505794525146484e+01 2.056500911712646484e-01 8.916121482849121094e+00
1.087473392486572266e+01 5.872001051902770996e-01 9.030283927917480469e+00
1.035277175903320312e+01 3.756901025772094727e-01 9.098231315612792969e+00
1.036936759948730469e+01 5.548400878906250000e-01 9.120512008666992188e+00
1.075066947937011719e+01 8.295201063156127930e-01 9.037960052490234375e+00
1.051159667968750000e+01 1.020240068435668945e+00 8.983348846435546875e+00
1.079949855804443359e+01 1.552740097045898438e+00 9.142107963562011719e+00
1.028684520721435547e+01 5.590900778770446777e-01 9.001862525939941406e+00
9.561643600463867188e+00 -1.572799086570739746e-01 8.853569030761718750e+00
1.075015068054199219e+01 9.828000664710998535e-01 9.150768280029296875e+00
1.004202079772949219e+01 -3.691298961639404297e-01 8.912742614746093750e+00
1.024788761138916016e+01 2.668700814247131348e-01 8.976758003234863281e+00
9.841529846191406250e+00 -2.425499111413955688e-01 9.031849861145019531e+00
9.620753288269042969e+00 -1.479499042034149170e-01 8.664480209350585938e+00
